fileid|datesaved|posttitle|artist|song
642898|9/24/2008 8:44|In which I write about something of which I know very little|Bush|Greedy Fly
642899|9/24/2008 8:45|In which I write about something of which I know very little|Bush|Greedy Fly
642901|9/24/2008 8:57|All The Pennies And The Pounds|Golden Silvers|Magic Touch
642900|9/24/2008 8:57|All The Pennies And The Pounds|DJ Downfall|Seven Dials (featuring Gene Serene)
642902|9/24/2008 9:15|More of “Hail To The Smiths” week with Cocoanut Groove|Cocoanut Groove|Midsummer's Dream (Mainmix2)-1
642903|9/24/2008 9:17|Mope Like Me: Duran Duran, “Save a Prayer” (Best Remix Ever)|Duran Duran|Save a Prayer (Thunder in Our Hearts Mix)
642904|9/24/2008 9:18|The Power Of The Spoken Word|Dana Bryant|Margaret (Second Cousin)
642906|9/24/2008 9:19|Manu|Manu|Cow-boy
642905|9/24/2008 9:19|The Power Of The Spoken Word|BAMA The Village Poet|I Got Soul
642907|9/24/2008 9:20|The New King Of Truck-Drivin' Music|Chris Sprague|Almost Home
642908|9/24/2008 9:21|The Power Of The Spoken Word|Sarah Webster Fabio|A Mover Place In the Sun
642909|9/24/2008 9:21|The New King Of Truck-Drivin' Music|Chris Sprague|Roll On Big Mama
642910|9/24/2008 9:21|The New King Of Truck-Drivin' Music|Chris Sprague|Diesel Made For Two
642911|9/24/2008 9:21|The New King Of Truck-Drivin' Music|Chris Sprague|Diesel Smoke And Cigarettes
642912|9/24/2008 9:23|300th post - Maestro Fresh Wes|Maestro Fresh-Wes|Untouchable
642913|9/24/2008 9:24|300th post - Maestro Fresh Wes|Maestro Fresh-Wes|LetYour Backbone Slide
642915|9/24/2008 9:25|Dean Carter !|DeanCarter|Fever
642914|9/24/2008 9:25|300th post - Maestro Fresh Wes|Maestro Fresh-Wes|The Mics My Piece
642916|9/24/2008 9:25|300th post - Maestro Fresh Wes|Maestro Fresh-Wes|Drop The Needle
642917|9/24/2008 9:26|Dean Carter !|DeanCarter|Jailhouse Rock
642918|9/24/2008 9:26|Dean Carter !|DeanCarter|Sock It to Me Baby
642920|9/24/2008 9:26|CURIOSITY KILLED THE...|Ladyhawke|Dusk Til Dawn
642919|9/24/2008 9:26|CURIOSITY KILLED THE...|The Hush Sound|Honey
642923|9/24/2008 9:27|CURIOSITY KILLED THE...|Kings Of Leon|Closer
642922|9/24/2008 9:27|CURIOSITY KILLED THE...|Sbastien Tellier|Sexual Sportswear (SebastiAn Remix)
642921|9/24/2008 9:27|CURIOSITY KILLED THE...|Francoise Hardy|Je Pense a'Lui
642924|9/24/2008 9:28|THE HUB: Wednesday, September 24, 2008|ost|fireflies
642925|9/24/2008 9:28|THE HUB: Wednesday, September 24, 2008|Supersuckers|Paid
642926|9/24/2008 9:29|THE HUB: Wednesday, September 24, 2008|Supersuckers|What It Takes
642927|9/24/2008 9:32|Megapuss|Megapuss|Older Lives
642928|9/24/2008 9:32|May The Schwartz Be With You.|Lucy Schwartz|Paper Plane
642929|9/24/2008 9:33|Megapuss|Megapuss|Theme From Hollywood!
642930|9/24/2008 10:10|Questionable Corner: Mason Proper|Mason Proper|Shiny
642931|9/24/2008 10:10|Questionable Corner: Mason Proper|Mason Proper|Fog
642933|9/24/2008 10:11|common reaction by uh huh her|Uh Huh Her|Common Reaction
642934|9/24/2008 10:12|common reaction by uh huh her|Uh Huh Her|Not A Love Song
642936|9/24/2008 10:13|Smell Yo Dick - Mr Virgo Remix|Riskay|Smell Yo Dick (Mr Virgo Remix)
642935|9/24/2008 10:13|Step Up To Get Ya Rep Up|Gang Starr|Moment Of Truth
642937|9/24/2008 10:16|2 atoms in a molecule|Noah and the Whale|2 Bodies 1 Heart
642938|9/24/2008 10:20|Italian Mojo|The Mojomatics|Wait A While
642939|9/24/2008 10:20|Italian Mojo|The Mojomatics|Miss Me When I'm Gone
642940|9/24/2008 10:21|Throw Me The Statue|Cotton Jones|Midnight Monday and a Telescope
642941|9/24/2008 10:21|Throw Me The Statue|Throw Me The Statue|Lolita
642942|9/24/2008 10:22|Throw Me The Statue|The Broken West|Auctioneer
642943|9/24/2008 10:23|Daily Downloads (Theresa Andersson, Friendly Fires, and more)|Dear And The Headlights|I'm Not Crying. You're Not Crying, Are You?
642944|9/24/2008 10:25||Cross Country|Just A Thought
642945|9/24/2008 10:28|Kings of Leon - Only By the Night|Kings of Leon|Revelry
642947|9/24/2008 10:30|"Portastatic - Some Small History"" Analysis"""|Portastatic|I Wanna Know Girls
642946|9/24/2008 10:30|Kings of Leon - Only By the Night|Kings of Leon|Closer
642948|9/24/2008 10:31|"Portastatic - Some Small History"" Analysis"""|Portastatic|Skinny Glasses Girl
642949|9/24/2008 10:32|TW Walsh Releases Back Catalog For Free!|TW Walsh|Gullwatching
642950|9/24/2008 10:33|Un document sociologique|Boogers|Ashtray
642951|9/24/2008 10:34|Asobi Seksu is Touring Again|Asobi Seksu|Stay Awake
642952|9/24/2008 10:35|Love Lockdown|Kanye West|Love Lockdown (Teen Wolf Remix)
642953|9/24/2008 10:51|R KELLY|R Kelly|Hairbraider (Clean)
642954|9/24/2008 10:51|Scarves Of Red Tied ’Round Their Throats|Fleet Foxes|White Winter Hymnal
642956|9/24/2008 10:52|Canary|Kanye West|Love Lockdown (Tom Wrecks Remix)
642955|9/24/2008 10:52|Joke et Teki.|Joke et teki|Joke et Teki
642957|9/24/2008 10:53|Reminder: Conor Oberst Live Tonight in Oxford|Wilco|I Am Trying To Break Your Heart
642958|9/24/2008 10:53|Reminder: Conor Oberst Live Tonight in Oxford|Wilco|Not For The Season
642959|9/24/2008 10:55|TVD First Date / ...with Sad Crocodile|Sad Crocodile|Sad at Me
642960|9/24/2008 10:56|"Video: Deerhunter - Nothing Ever Happened (live at McCarren Park Pool)"""""|Deerhunter|Nothing Ever Happened
642961|9/24/2008 10:57|Ari Thunder-Eff|Baby Diamonds|Alaskan Thunderfuck
642962|9/24/2008 10:58|Alone, Alone|Memory Cassette|Surfin
642963|9/24/2008 10:58|Alone, Alone|Memory Cassette|Listen To The Vacuum
642964|9/24/2008 10:59|Alone, Alone|Hungry Ghosts|Alone Alone
642965|9/24/2008 11:01|GREY MACHINE: JUSTIN BROADRICK AND AARON TURNER MAKE BEAUTIFUL NOISE TOGETHER|Grey Machine|Vultures Descend
642966|9/24/2008 11:02|GREY MACHINE: JUSTIN BROADRICK AND AARON TURNER MAKE BEAUTIFUL NOISE TOGETHER|Grey Machine|Vultures Descend
642967|9/24/2008 11:02|R.I.P.: Willy Graves, former bassist for The Plot To Blow Up The Eiffel Tower|The Plot To Blow Up The Eiffel Tower|Johnny, You're All Grown Up
642968|9/24/2008 11:02|R.I.P.: Willy Graves, former bassist for The Plot To Blow Up The Eiffel Tower|The Plot To Blow Up The Eiffel Tower|Johnny, You're All Grown Up
642969|9/24/2008 11:03|Shugo Tokumaru|Shugo Tokumaru|Parachute
642970|9/24/2008 11:03|Shugo Tokumaru|Shugo Tokumaru|Clocca
642971|9/24/2008 11:05|TVD First Date / ...with Sad Crocodile|Sad Crocodile|Promised I'd Write Something Nice
642972|9/24/2008 11:06|TVD First Date / ...with Sad Crocodile|Sad Crocodile|Lawrence Hates Maurice
642973|9/24/2008 11:13|Say Hi/Jukebox the Ghost Tour America//To Play Show with Michigan’s Dali Rocket|Jukebox The Ghost|Hold It In
642974|9/24/2008 11:13|Say Hi/Jukebox the Ghost Tour America//To Play Show with Michigan’s Dali Rocket|Dali Rocket|Incessant Love Tribunal
642975|9/24/2008 11:14|Say Hi/Jukebox the Ghost Tour America//To Play Show with Michigan’s Dali Rocket|Dali Rocket|War Song
642976|9/24/2008 11:14|Say Hi/Jukebox the Ghost Tour America//To Play Show with Michigan’s Dali Rocket|Say Hi|Toil and Trouble
642977|9/24/2008 11:14|Reminder: Conor Oberst Live Tonight in Oxford|Uncle Tupelo|353039
642978|9/24/2008 11:14|Junior League Band - “Mitchell Williams Fo Govena” (Sept. 30)|Junior League Band|The Station
642979|9/24/2008 11:15|Spooky Songs: The Beatles, “Long, Long, Long”|The Beatles|Long, Long, Long
642981|9/24/2008 11:15|Backyard Tire Fire + Ha Ha Tonka + Mardelay / Art vs. Art / Friday, September 26th, 2008|Ha Ha Tonka|Caney Mountain (live in the MOKB/WEEM studio 11/5/07)
642980|9/24/2008 11:15|Reminder: Conor Oberst Live Tonight in Oxford|Modest Mouse|King Rat
642983|9/24/2008 11:16|Backyard Tire Fire + Ha Ha Tonka + Mardelay / Art vs. Art / Friday, September 26th, 2008|Ha Ha Tonka|Up Nights (live in the MOKB/WEEM studio 11/5/07)
642982|9/24/2008 11:16|Backyard Tire Fire + Ha Ha Tonka + Mardelay / Art vs. Art / Friday, September 26th, 2008|Ha Ha Tonka|St. Nick On The Fourth In A Fervor (live in the MOKB/WEEM studio 11/5/07)
642984|9/24/2008 11:16|The Unicorns - Who Will Cut Our Hair When We’re Gone? (Alien8)|The Unicorns|Ready To Die
642985|9/24/2008 11:33|The Teenagers + Twins|The Teenagers|Make It Happen (Twins Rough Mix)
642986|9/24/2008 11:36|Coldplay Bassist Speaks Out On Official Site|Coldplay|Clocks
642987|9/24/2008 11:41|Sonny J|Sonny J|Strange Things
642988|9/24/2008 11:42|Sonny J|Sonny J|Can't Stop Moving
642989|9/24/2008 11:43|Sonny J|Sonny J|A Hard Days Night
642990|9/24/2008 11:45|We Plants Are Happy Plants Makes My Feet be Happy Feet|Daft Punk|Superheroes (We Plants Are Happy Plants Remix)
642991|9/24/2008 11:45|We Plants Are Happy Plants Makes My Feet be Happy Feet|Bronski Beat|Small Town Boy (We Plants Are Happy Plants Remix)
642992|9/24/2008 11:46|We Plants Are Happy Plants Makes My Feet be Happy Feet|We Plants Are Happy Plants|Trance Steel
642993|9/24/2008 11:46|Nothing but music - the endless post?|Travis|Song To Self
642994|9/24/2008 11:47|Nothing but music - the endless post?|The Floor Is Made Of Lava|Told Her I'm from Compton
642995|9/24/2008 11:47|Nothing but music - the endless post?|ChrisWalla|Sing Again
642997|9/24/2008 11:48|Nothing but music - the endless post?|Neon Zoo|Alive
642998|9/24/2008 11:48|Nothing but music - the endless post?|Celestial|Crystal Heights
642999|9/24/2008 11:48|Nothing but music - the endless post?|Stereo Inn|Moving On
642996|9/24/2008 11:48|Division Day on '90210'|Division Day|Colorguard
643000|9/24/2008 11:49|Nothing but music - the endless post?|Angel Pier|Make
643001|9/24/2008 11:49|Nothing but music - the endless post?|tWAMi|My spanish romance
643002|9/24/2008 11:50|"[MP3] Amy MacDonald: This Is The Life"""""|Amy MacDonald|This Is The Life
643003|9/24/2008 11:50|Sigur Ros Unveils New Tour Vlog|Sigur Rs|Von
643004|9/24/2008 11:50|Boo! Nazi Fascist Supremists! (MP3s)|Cutrer T Tommy|10 - T. Tommy Cutrer - The School Bus
643005|9/24/2008 11:52|Boo! Nazi Fascist Supremists! (MP3s)|Charles Mingus|Fables Of Faubus
643006|9/24/2008 11:53|Boo! Nazi Fascist Supremists! (MP3s)|Charles Mingus|Original Faubus Fables
643007|9/24/2008 11:53|Who The Hell Is *Starfucker*?||Starfucker -Pop Song
643008|9/24/2008 11:54|Manu|Grgoire|toi + moi
643009|9/24/2008 11:54|New Paris, Tokyo feat. Pharrell|Lupe Fiasco|Paris,Tokyo (Remix Feat. Pharrell, Q-Tip, and Sarah Green)
643010|9/24/2008 11:55|THE HUB: Wednesday, September 24, 2008|Paper Round Kid|U R the 1
643011|9/24/2008 12:10|"Skid Row - Slave To The Grind"" (1991)"""|Skid Row|Riot act
643014|9/24/2008 12:11|At The Show: Matt and Kim|Matt and Kim|Good Ol' Fashion Nightmare
643012|9/24/2008 12:11|"Skid Row - Slave To The Grind"" (1991)"""|Skid Row|Slave to the grind
643013|9/24/2008 12:11|"Skid Row - Slave To The Grind"" (1991)"""|Skid Row|In a darkened room
643015|9/24/2008 12:12|Astro Raw : hip newbie|Astro Raw|Shogun Assassin
643016|9/24/2008 12:12|Astro Raw : hip newbie|Astro Raw|LoHi
643018|9/24/2008 12:12|on average people fear spiders more than death|hothouse flowers|an emotional time
643017|9/24/2008 12:12|on average people fear spiders more than death|hothouse flowers|thing of beauty
643019|9/24/2008 12:12|on average people fear spiders more than death|hothouse flowers|dj intro
643023|9/24/2008 12:13|on average people fear spiders more than death|hothouse flowers|isnt it amazing
643022|9/24/2008 12:13|on average people fear spiders more than death|hothouse flowers|one tounge
643020|9/24/2008 12:13|on average people fear spiders more than death|hothouse flowers|this is it (your soul)
643021|9/24/2008 12:13|on average people fear spiders more than death|hothouse flowers|be good
643024|9/24/2008 12:14|on average people fear spiders more than death|hothouse flowers|stand beside me
643025|9/24/2008 12:14|"The Rosebuds Life like"""""|The Rosebuds|Leaves Do Fall
643026|9/24/2008 12:15|MANY TIMES: King Khan & The Shrines|King Khan and The Shrines|Welfare Bread
643028|9/24/2008 12:15|New Vampire Weekend makes Nick and Nora's Infinite Playlist|Vampire Weekend|Ottoman
643027|9/24/2008 12:15|Concert Review: James, Phoenix Theatre, Sept 23|James|Destiny Calling
643029|9/24/2008 12:16|Miniature Tigers release new digital album|Miniature Tigers|Cannibal Queen
643030|9/24/2008 12:28|The Whigs @ the Glass House 9.19.08|The Whigs|Right Hand On My Heart (WOXY)
643031|9/24/2008 12:28|The Whigs @ the Glass House 9.19.08|The Whigs|Sleep Sunshine (WOXY)
643032|9/24/2008 12:33|Castanets to release City of Refuge|Castanets|Prettiest Chain
643033|9/24/2008 12:34|An Open Letter to Noah and the Whale|Noah and the Whale|5 Years Time
643034|9/24/2008 12:35|Contest: How high do your dials go? >>|The High Dials|Clare
643035|9/24/2008 12:37|Calzada del Gigante|The Stone Roses|This Is The One
643036|9/24/2008 12:48|"Jack Johnson Goes Electronic; Listen To New Remixed Track Enemy"""""|Jack Johnson|Enemy (Worst Friends Remix)
643037|9/24/2008 12:49|Nate Dogg Suffers Another Stroke|Notorious B.I.G ft Snoop, Nate Dogg, Busta, Foxy, Fabolous|Running Your Mouth
643038|9/24/2008 12:54|You Might Die Trying|Dave Matthews Band|You Might Die Trying
643039|9/24/2008 12:57|Bisou du Mercredi|Christina Aguilera VS Rolling Stones|Ain't No Jumping
643040|9/24/2008 12:59|Bisou du Mercredi|Christina Aguilera|Keeps Gettin' Better
643041|9/24/2008 13:00|TVD First Date / ...with Sad Crocodile|Sad Crocodile|When The Sun Goes Down
643042|9/24/2008 13:00|TVD First Date / ...with Sad Crocodile|Sad Crocodile|Holy Water Down
643043|9/24/2008 13:01|TVD's Daily Wax|The Heartbreakers|Chinese Rocks
643044|9/24/2008 13:02|TVD's Daily Wax|Dead Boys|Sonic Reducer
643045|9/24/2008 13:03|TVD's Daily Wax|Blondie|X Offender
643046|9/24/2008 13:04|Indie-pop with the French-Swedish stamp of Envelopes|Envelopes|Party
643047|9/24/2008 13:05|Free Art||279523
643048|9/24/2008 13:06|T. Raumschmiere - I Tank U (Shitkatapult, 2008)|T.Raumschmiere|E
643049|9/24/2008 13:14|Temporisation|Roman S.|Horn! (Prompt Remix)
643050|9/24/2008 13:15|Hollertronix #9, you don't say...|Diplo & Buraka Som Sistema|Inna De Ghetto (Remix)
643051|9/24/2008 13:16|Temporisation|Kerri Chandler|Fortran
643052|9/24/2008 13:17|Trashed of a Tuesday|Bloc Party|Mercury (Herve Is In Disarray Remix)
643053|9/24/2008 13:18|The Boxing Lesson|The Boxing Lesson|Brighter
643054|9/24/2008 13:18|Trashed of a Tuesday|M.I.A.|Paper Planes (lapse remix)
643055|9/24/2008 13:18|The Boxing Lesson|The Boxing Lesson|Freedom
643056|9/24/2008 13:19|The Music Biz: Walk On Water|Thelonious Monster|Walk On Water
643057|9/24/2008 13:19|Only By The Night From Two Perspectives|Kings Of Leon|Joes Head
643059|9/24/2008 13:20|The Killers - Human|The Killers|Human
643058|9/24/2008 13:20|Only By The Night From Two Perspectives|Kings Of Leon|Be Somebody
643062|9/24/2008 13:22|New Marina and the Diamonds - Mowgli's Road|Client|Leave the man to me
643060|9/24/2008 13:22|New Marina and the Diamonds - Mowgli's Road|The Bird and the Bee -|Man
643061|9/24/2008 13:22|New Marina and the Diamonds - Mowgli's Road|Positive K|I Got a Man
643063|9/24/2008 13:23|TVD's Daily Wax|New York Dolls|Personality Crisis
643064|9/24/2008 13:23|Nouveau son des Coal Stairs|Coal Stairs|http://www.empreintes-digitales.fr, Fuji 111
643066|9/24/2008 13:24|Drop it to the Turf|E-40|Turf Drop (MR GASPAR Remix)
643065|9/24/2008 13:24|TVD's Daily Wax|The Runaways|Cherry Bomb
643067|9/24/2008 13:24|New Totems, Rituals|Graffiti Island|HeadHunters
643068|9/24/2008 13:25|Massive Chill|Massive Attack|Heat Miser
643070|9/24/2008 13:25|Grumpy Bear: Kosar [Album Review]|Grumpy Bear|Keepsake Pt. 1
643069|9/24/2008 13:25|Grumpy Bear: Kosar [Album Review]|Grumpy Bear|Sleepynaut
643071|9/24/2008 13:26|Massive Chill|Massive Attack|Protection
643072|9/24/2008 13:26|TW Walsh - Blue Laws And Others|TW Walsh|Gullwatching
643074|9/24/2008 13:27|Audio: The Cool Kids - Don’t Trip|The Cool Kids|Don't Trip (UK Bonus Track)
643073|9/24/2008 13:27|Audio: The Cool Kids - Don’t Trip|The Cool Kids|Don't Trip (UK Bonus Track)
643076|9/24/2008 13:28|Del Barber - “Where the City Ends”|Del Barber|where the city ends
643077|9/24/2008 13:28|Del Barber - “Where the City Ends”|Del Barber|harvest
643075|9/24/2008 13:28|Superstar DJ's - Born Originals|Superstar DJs|Break Dance - Electric Boogie
643078|9/24/2008 13:29|Lykke Li - Youth Novels|Lykke Li|I'm Good. I'm Gone
643079|9/24/2008 13:29|Superstar DJ's - Born Originals|Superstar DJs|Mescalito (feat. Delinquent Habits)
643080|9/24/2008 13:30|Lykke Li - Youth Novels|Lykke Li|Little Bit
643081|9/24/2008 13:30|Lunatic Calm - Breaking Point|Lunatic Calm|Liberation Radio
643082|9/24/2008 13:31|Lunatic Calm - Breaking Point|Lunatic Calm|Sound Of The Revolution
643083|9/24/2008 13:52|Telefon Tel Aviv Prep First Album in Five Years // Announce Tour|Matthew Dear|Don and Sherri
643084|9/24/2008 13:53|Telefon Tel Aviv Prep First Album in Five Years // Announce Tour|Telefon Tel Aviv|Helen of Troy
643086|9/24/2008 13:56|New Those Dancing Days single accompanied by a fun video!|Those Dancing Days|Home Sweet Home
643085|9/24/2008 13:56|Blitzen Trapper: Furr [Album Review]|Blitzen Trapper|Furr
643087|9/24/2008 13:57|John Coltrane - “Giant Steps” (Alternate Take)|John Coltrane|Giant Steps (Alternate Take)
643088|9/24/2008 13:57|Massive Chill|Conor Oberst|Souled Out!!!
643089|9/24/2008 14:01|Rrrump!|Rrrump|Twerk It
643091|9/24/2008 14:02|#78 brightblack morning light - oppressions each|Brightblack Morning Light|Oppressions Each
643090|9/24/2008 14:02|Rrrump!|Rrrump|If You Want Me
643092|9/24/2008 14:03|Rrrump!|Para One|Piste Bleue (Rrrump Edit)
643093|9/24/2008 14:09|Rack & Rune|King|Love & Pride (Rune Lindbaek edit)
643095|9/24/2008 14:10|"I Call Shotgun!"""""|Wilco|Passenger Side
643094|9/24/2008 14:10|"I Call Shotgun!"""""|TLC|No Scrubs
643097|9/24/2008 14:11|"I Call Shotgun!"""""|Death Cab For Cutie|Passenger Seat
643096|9/24/2008 14:11|Rack & Rune|Voyage|I Love You Dancer (Rune Lindbaek edit)
643098|9/24/2008 14:13|Rollo & Grady // Austin City Limits 2008|Xavier Rudd|Food In The Belly
643099|9/24/2008 14:14|Rollo & Grady // Austin City Limits 2008|Del Tha Funkee Homosapien|Mistadobalina
643100|9/24/2008 14:14|Rollo & Grady // Austin City Limits 2008|The Black Angels|Doves
643101|9/24/2008 14:15|Rollo & Grady // Austin City Limits 2008|Silversun Pickups|Lazy Eye
643102|9/24/2008 14:15|Rollo & Grady // Austin City Limits 2008|Band of Horses|Cigarettes Wedding Bands
643104|9/24/2008 14:16||Pivot|Didn't I Furious
643107|9/24/2008 14:16|Rollo & Grady // Austin City Limits 2008|Jos Gonzlez|Heartbeats & Crosses (Live On KCRW)
643106|9/24/2008 14:16|Rollo & Grady // Austin City Limits 2008|Galactic|Tighten Your Wig
643105|9/24/2008 14:16|Rollo & Grady // Austin City Limits 2008|The Black Keys|Set You Free
643103|9/24/2008 14:16|Rollo & Grady // Austin City Limits 2008|CSS|Alala
643108|9/24/2008 14:17|Rollo & Grady // Austin City Limits 2008|The Kills|Kissy Kissy
643109|9/24/2008 14:17|Rollo & Grady // Austin City Limits 2008|Beck|E-Pro
643110|9/24/2008 14:17|Rollo & Grady // Austin City Limits 2008|Drive-By Truckers|3 Dimes Down
643111|9/24/2008 14:17|Rollo & Grady // Austin City Limits 2008|Spiritualized|I Gotta Fire
643112|9/24/2008 15:13|Nellie McKay Profiled In Time Out New York's '40'|Nellie McKay|Change The World
643113|9/24/2008 15:14|...A TOYS ORCHESTRA|AToysOrchestra| Mrs Macabrette
643115|9/24/2008 15:16|...A TOYS ORCHESTRA|...A Toys Orchestra|Cornice Dance
643117|9/24/2008 15:18|National Meet Me In St Louis Day|MMISL|Track 6
643116|9/24/2008 15:18|Craigslist Musical Dedication Of The Day|Bonnie 'Prince' Billy|Wolf Among Wolves
643118|9/24/2008 15:19|My ode to mass transit||Deadly
643121|9/24/2008 15:20|My ode to mass transit|Rilo Kiley|The Frug
643120|9/24/2008 15:20|Craigslist Musical Dedication Of The Day|Bon Iver|The Wolves (Act I and II)
643119|9/24/2008 15:20|My ode to mass transit|Buffalo Tom|My Responsibility
643122|9/24/2008 15:21|Bear Hands - Golden|Bear Hands|Golden
643123|9/24/2008 15:21|Transformer|Marnie Stern|Transformer
643124|9/24/2008 15:22|Stina Nordenstam - Little Star|Stina Nordenstam|Little Star
643125|9/24/2008 15:23|Starfucker: Starfucker|Starfucker|Pop Song
643126|9/24/2008 15:24|Weezer Covers Oasis In Lowell|Weezer|Pork And Beans
643127|9/24/2008 15:24|Me and My DC Street Cred (if such a thing exists)|Jukebox The Ghost|Victoria
643129|9/24/2008 15:24|You Only Want Me On the Kitchen Table|Little Red Amp|Show Pony
643130|9/24/2008 15:24|Wednesdays|Bonnie Prince Billy|The World's Greatest
643128|9/24/2008 15:24|Me and My DC Street Cred (if such a thing exists)|Bellman Barker|Top of the Stairs
643131|9/24/2008 15:25|Wednesdays|Max Avery Lichtenstein|Tarnation
643132|9/24/2008 15:26|Do you believe in rapture?|Mujava|Township Funk (mastered)
643133|9/24/2008 15:27|Do you believe in rapture?|Syclops|Where's Jason's K
643134|9/24/2008 15:28|My Purple Past.|Deerhoof|My Purple Past
643135|9/24/2008 15:28|Win tickets for Matter this Friday!|Dubfire|Roadkill (Mylo Remix)
643136|9/24/2008 15:29|Win tickets for Matter this Friday!|Midfield General|Disco Sirens (Chicken Lips Malfunction)
643137|9/24/2008 15:30|Songs For The Deaf|Queens Of The Stone Age|God Is In The Radio
643138|9/24/2008 15:30|כרטיסים במתנה: חוזה גונזלס|The Gutter Twins|Down The Line (Jose Gonzales Cover)
643140|9/24/2008 15:31|Wednesdays|Page France|All Things, All Right
643141|9/24/2008 15:31|Win tickets for Matter this Friday!|Reverend And The Makers|Heavyweight Champion Of The World
643139|9/24/2008 15:31|כרטיסים במתנה: חוזה גונזלס|Zero 7|futures
643147|9/24/2008 15:34|Treasure Island Music Festival, September 21|Tokyo Police Club|Juno
643146|9/24/2008 15:34|Treasure Island Music Festival, September 21|Fleet Foxes|White Winter Hymnal
643148|9/24/2008 15:34|Treasure Island Music Festival, September 21|Tegan and Sara|The Con
643145|9/24/2008 15:34|Treasure Island Music Festival, September 21|Port O'Brien|Five And Dime
643149|9/24/2008 15:35|Treasure Island Music Festival, September 21|Okkervil River|Our Life Is Not a Movie or Maybe
643150|9/24/2008 15:35|Treasure Island Music Festival, September 21|Spiritualized|Ladies and Gentlemen We Are Floating in Space
643151|9/24/2008 15:35|Treasure Island Music Festival, September 21|Vampire Weekend|Walcott
643152|9/24/2008 15:36|Reviews:: Agnostic Mountain Gospel Choir Ten Thousand||Go Back Home
643153|9/24/2008 15:36|Watch ACL 2008 via AT&T Blue Room|Brian Eno & David Byrne|Regiment
643154|9/24/2008 15:37|Watch ACL 2008 via AT&T Blue Room|Neko Case|Star Witness
643155|9/24/2008 15:37|Watch ACL 2008 via AT&T Blue Room|Vampire Weekend|Oxford Comma
643156|9/24/2008 15:38|New Judas|Pets On Prozac|Aso Bosa
643157|9/24/2008 15:38|Watch ACL 2008 via AT&T Blue Room|Erykah Badu|Soldier
643158|9/24/2008 15:39|Philipp Wolgast - Unshaved|WOLGAST, Philipp|Unrasiert Und Fern Der Heimat
643159|9/24/2008 15:39|New Judas|Obi Blanche|Jesus ( Downtown Remix )
643160|9/24/2008 15:40|Philipp Wolgast - Unshaved|WOLGAST, Philipp|Within
643161|9/24/2008 15:40|Philipp Wolgast - Unshaved|WOLGAST, Philipp|Unrasiert Und Fern Der Heimat
643162|9/24/2008 15:41|Save The Date: The Music Slut's CMJ 2008 Showcase|PWRFL POWER|Alma Song
643163|9/24/2008 15:41|This Is…|www.maddeecnt.com|This Is Penis
643164|9/24/2008 15:42|Such Identicals|Such Identicals|Council Estate
643165|9/24/2008 15:43|Cold War Kids: Loyalty to Loyalty|Cold War Kids|Something Is Not Right WIth Me
643166|9/24/2008 15:43|ESP - ONE FOR THE DITCH|ESP|highway 395
643167|9/24/2008 15:44|ESP - ONE FOR THE DITCH|ESP|hell of a life
643168|9/24/2008 15:44|ESP - ONE FOR THE DITCH|ESP|one for the ditch
643169|9/24/2008 15:44|Tom Wrecks|Kanye West|Love Lockdown (Tom Wrecks Remix)
643171|9/24/2008 15:45|Lapse|2Unlimited|No Limit (Lapse's Acceptable in the 90's Revamp)
643170|9/24/2008 15:45|Lapse|M.I.A.|Paper Planes (Lapse Remix)
643172|9/24/2008 15:47|Le Switch announces the release of their debut LP, “And Now…Le Switch” from Autumn Tone Records.|The Switch|Tongue Tied
643173|9/24/2008 15:48|Le Switch announces the release of their debut LP, “And Now…Le Switch” from Autumn Tone Records.|The Switch|Living In Another World
643174|9/24/2008 15:48|Dada Life Remix Boy 8-Bit|Boy 8-Bit|The Suspense Is Killing Me (Dada Life Guerilla Fart #TBA)
643175|9/24/2008 15:49|WFMU at ISSUE Project Room - finale weekend (mp3s)|Teeth Mountain|Keinsein
643176|9/24/2008 15:50|WFMU at ISSUE Project Room - finale weekend (mp3s)|Teeth Mountain|Black Jerusalem
643177|9/24/2008 15:52|Celebrating 51 Years of Stereo (MP3)||Audio Fidelity 1958
643178|9/24/2008 16:17|Farmyard Filth|The Tiger Lillies|Vagina
643179|9/24/2008 16:18|Music to foil super-villians to...|Shawn Lee's Ping Pong Orchestr|Glass Act
643180|9/24/2008 16:18|Music to foil super-villians to...|Shawn Lee's Ping Pong Orchestr|Glass Act
643181|9/24/2008 16:18|Farmyard Filth|The Tiger Lillies|Aunty Mabel
643182|9/24/2008 16:18|EVERY[SINGLE]DAY #21 _ NICK DRAKE (Way to Blue)|Nick Drake|Way to Blue
643183|9/24/2008 16:19|Redirigiendo…|Les Rythmes Digitales|From: Disco To: Disco
643184|9/24/2008 16:20|Madonna feat. Justin Timberlake and Timbaland - 4 Minutes|Madonna feat. Justin Timberlake and Timbaland|4 Minutes
643185|9/24/2008 16:21|L'émail dentaire.|JOSE GONZALEZ|Killing For Love (Todd Terje mix)
643186|9/24/2008 16:21|“I Said Hoooo..”|Collapsed Lung|Eat my Goal (Black Cats Mix)
643187|9/24/2008 16:22|What the digital revolution missed...|Sbastien Tellier|Sexual Sportswear (SebastiAn remix)
643190|9/24/2008 16:22|“I Said Hoooo..”|Collapsed Lung|Eat my Goal (Jackpot Goalie Mi
